,Neighborhood,Zip Code,Latitude,Longitude
Bronx,Claremont,10456,40.8378,-73.909
Bronx,Claremont Village,10456,40.834,-73.9081
Bronx,Clason Point,10473,40.81,-73.855
Bronx,Co-Op City,10475,40.8743,-73.8291
Bronx,Concourse,10451,40.831,-73.9226
Bronx,Concourse Village,10451,40.8284,-73.9221
Bronx,Country Club,10465,40.8433,-73.8211
Bronx,Crotona,10459,40.8252,-73.8985
Bronx,Crotona Park,10459,40.8367,-73.8944
Bronx,East Tremont,10457,40.8466,-73.8878
Bronx,Eastchester,10469,40.8803,-73.8427
Bronx,Eastchester Bay,10475,40.88,-73.8292
Bronx,Edenwald,10466,40.889,-73.8423
Bronx,Fieldston,10471,40.8968,-73.9051
Bronx,Fordham Heights,10458,40.8583,-73.9006
Bronx,Fordham Manor,10458,40.8605,-73.8984
Bronx,Foxhurst,10459,40.8204,-73.8948
Bronx,Harding Park,10473,40.8244,-73.8697
Bronx,Highbridge,10452,40.8352,-73.9271
Bronx,Hunts Point,10474,40.8119,-73.8864
Bronx,Indian Village,10465,40.8302,-73.8244
Bronx,Jerome Park,10468,40.8699,-73.893
Bronx,Kingsbridge,10463,40.8834,-73.9051
Bronx,Kingsbridge Heights,10463,40.8834,-73.9051
Bronx,Laconia,10469,40.8712,-73.855
Bronx,Locust Point,10465,40.8052,-73.8262
Bronx,Longwood,10459,40.8227,-73.8962
Bronx,Melrose,10451,40.8248,-73.9156
Bronx,Morris Heights,10453,40.8542,-73.9192
Bronx,Morris Park,10461,40.8491,-73.8556
Bronx,Morrisania,10456,40.8277,-73.9085
Bronx,Mosholu,10463,40.8885,-73.8987
Bronx,Mott Haven,10454,40.8062,-73.916
Bronx,Mt. Eden,10452,40.843,-73.9157
Bronx,Mt. Hope,10457,40.8489,-73.9081
Bronx,North Riverdale,10471,40.9096,-73.9032
Bronx,Norwood,10467,40.8777,-73.8786
Bronx,Olinville,10467,40.8882,-73.8674
Bronx,Park of Edgewater,10465,40.8156,-73.8194
Bronx,Parkchester,10462,40.8377,-73.8568
Bronx,Pelham Bay,10464,40.8479,-73.8215
Bronx,Pelham Bay Park,10464,40.8616,-73.7969
Bronx,Pelham Gardens,10469,40.8616,-73.8435
Bronx,Pelham Parkway,10462,40.8553,-73.8631
Bronx,Port Morris,10454,40.8029,-73.9132
Bronx,Riverdale,10463,40.9065,-73.9032
Bronx,Schuylerville,10465,40.8348,-73.8331
Bronx,Silver Beach,10465,40.8417,-73.7976
Bronx,Soundview,10472,40.8254,-73.8685
Bronx,Soundview Park,10472,40.8232,-73.874
Bronx,Spuyten Duyvil,10463,40.8841,-73.915
Bronx,Throggs Neck,10465,40.8266,-73.8211
Bronx,Unionport,10472,40.8295,-73.8507
Bronx,University Heights,10453,40.8553,-73.9101
Bronx,Van Cortlandt Park,10471,40.8891,-73.8977
Bronx,Van Cortlandt Village,10463,40.8819,-73.9156
Bronx,Van Nest,10462,40.8454,-73.8656
Bronx,Wakefield,10466,40.9026,-73.8505
Bronx,West Farms,10460,40.8395,-73.8812
Bronx,Westchester Square,10461,40.8403,-73.8423
Bronx,Williamsbridge,10467,40.8777,-73.8562
Bronx,Woodlawn Cemetery,10470,40.8992,-73.866
Bronx,Woodlawn Heights,10470,40.8951,-73.8679
Staten Island,Annadale,10312,40.5424,-74.1766
Staten Island,Arden Heights,10312,40.5565,-74.1866
Staten Island,Arlington,10303,40.6349,-74.1703
Staten Island,Arrochar,10305,40.5984,-74.0713
Staten Island,Bay Terrace,10308,40.5532,-74.1399
Staten Island,Bloomfield,10314,40.6144,-74.1885
Staten Island,Brighton Heights,10301,40.6424,-74.0965
Staten Island,Bull's Head,10314,40.6088,-74.1626
Staten Island,Castleton Corners,10314,40.6133,-74.1212
Staten Island,Charleston,10309,40.5201,-74.2356
Staten Island,Clifton,10304,40.6213,-74.0812
Staten Island,Clove Lakes Park,10310,40.6272,-74.1134
Staten Island,Concord,10304,40.6011,-74.084
Staten Island,Dongan Hills,10304,40.5882,-74.0935
Staten Island,Dongan Hills Colony,10304,40.5882,-74.0935
Staten Island,Eltingville,10312,40.5446,-74.1645
Staten Island,Emerson Hill,10304,40.607,-74.091
Staten Island,Fort Wadsworth,10305,40.6012,-74.0578
Staten Island,Freshkills Park,10314,40.5867,-74.1669
Staten Island,Graniteville,10314,40.6182,-74.1564
Staten Island,Grant City,10306,40.5809,-74.1054
Staten Island,Grasmere,10305,40.6031,-74.0849
Staten Island,Great Kills,10308,40.5536,-74.151
Staten Island,Great Kills Park,10308,40.5483,-74.1447
Staten Island,Grymes Hill,10301,40.6159,-74.0875
Staten Island,Heartland Village,10314,40.586,-74.1596
Staten Island,Huguenot North,10312,40.5363,-74.1916
Staten Island,Huguenot South,10312,40.5221,-74.205
Staten Island,Latourette Park,10314,40.5887,-74.1551
Staten Island,Lighthouse Hill,10306,40.5787,-74.1273
Staten Island,Manor Heights,10314,40.6079,-74.1211
Staten Island,Mariners Harbor,10303,40.6337,-74.1626
Staten Island,Meier's Corners,10314,40.6058,-74.1483
Staten Island,Midland Beach,10306,40.5715,-74.093
Staten Island,New Brighton,10301,40.6406,-74.0934
Staten Island,New Dorp,10306,40.5734,-74.1172
Staten Island,New Dorp Beach,10306,40.5666,-74.1058
Staten Island,New Springville,10314,40.589,-74.1643
Staten Island,Oakwood,10306,40.5584,-74.1216
Staten Island,Old Town,10304,40.5964,-74.0871
Staten Island,Park Hill,10304,40.6092,-74.0836
Staten Island,Pleasant Plains,10309,40.5228,-74.2179
Staten Island,Port Richmond,10302,40.6355,-74.1254
Staten Island,Prince's Bay,10309,40.5293,-74.2015
Staten Island,Randall Manor,10301,40.6416,-74.0931
Staten Island,Richmond Town,10306,40.5693,-74.1342
Staten Island,Richmond Valley,10309,40.5311,-74.1917
Staten Island,Rosebank,10305,40.6132,-74.0804
Staten Island,Rossville,10309,40.5494,-74.2157
Staten Island,Sandy Ground,10306,40.5411,-74.2177
Staten Island,Shore Acres,10305,40.6097,-74.0664
Staten Island,Silver Lake,10301,40.619,-74.093
Staten Island,South Beach,10305,40.5829,-74.0739
Staten Island,St. George,10301,40.6437,-74.0736
Staten Island,Stapleton,10304,40.6279,-74.074
Staten Island,Stapleton Heights,10304,40.6244,-74.0813
Staten Island,Sunset Hill,10301,40.6406,-74.1116
Staten Island,Sunnyside,10301,40.6156,-74.0981
Staten Island,Todt Hill,10304,40.5981,-74.1081
Staten Island,Tompkinsville,10304,40.6337,-74.0784
Staten Island,Tottenville,10307,40.5066,-74.2354
Staten Island,Travis-Chelsea,10314,40.5901,-74.1879
Staten Island,West New Brighton,10310,40.6262,-74.118
Staten Island,Westerleigh,10314,40.618,-74.1291
Staten Island,Willowbrook,10314,40.6034,-74.1387
Staten Island,Woodrow,10312,40.5421,-74.199
Manhattan,Alphabet City,10009,40.7255,-73.9795
Manhattan,Battery Park City,10280,40.7114,-74.0168
Manhattan,Bloomingdale District,10025,40.8037,-73.9645
Manhattan,Bowery,10002,40.717,-73.9956
Manhattan,Carnegie Hill,10029,40.785,-73.9531
Manhattan,Central Park,10024,40.7852,-73.9689
Manhattan,Chelsea,10001,40.7465,-74.0014
Manhattan,Chinatown,10013,40.7158,-73.997
Manhattan,Civic Center,10007,40.7141,-74.0067
Manhattan,East Harlem,10029,40.7957,-73.936
Manhattan,East Village,10003,40.7265,-73.9815
Manhattan,Financial District,10005,40.7069,-74.0093
Manhattan,Flatiron District,10010,40.7395,-73.9905
Manhattan,Fort George,10040,40.8597,-73.9295
Manhattan,Garment District,10018,40.7547,-73.9918
Manhattan,Governors Island,10004,40.6888,-74.0186
Manhattan,Gramercy,10010,40.7379,-73.9857
Manhattan,Greenwich Village,10012,40.7336,-74.0027
Manhattan,Hamilton Heights,10031,40.8257,-73.9497
Manhattan,Harlem,10026,40.8039,-73.9518
Manhattan,Hell's Kitchen (Clinton),10019,40.765,-73.9845
Manhattan,The Highline,10011,40.7471,-74.003
Manhattan,Hudson Heights,10033,40.8505,-73.9344
Manhattan,Hudson Square,10013,40.7266,-74.0071
Manhattan,Hudson Yards,10001,40.756,-74.0018
Manhattan,Inwood,10034,40.8677,-73.9212
Manhattan,Kips Bay,10016,40.7423,-73.9801
Manhattan,Lenox Hill,10021,40.7681,-73.9588
Manhattan,Lincoln Square,10023,40.7734,-73.9855
Manhattan,Little Italy/NoLIta,10013,40.7193,-73.997
Manhattan,Lower East Side,10002,40.7185,-73.983
Manhattan,Manhattan Valley,10025,40.7991,-73.9662
Manhattan,Manhattanville,10027,40.8126,-73.9598
Manhattan,Marble Hill,10463,40.8761,-73.91
Manhattan,Meatpacking District,10014,40.7401,-74.0077
Manhattan,Metropolitan Hill,10029,40.7939,-73.9442
Manhattan,Midtown,10019,40.7622,-73.9795
Manhattan,Midtown East,10022,40.7553,-73.968
Manhattan,Midtown South,10001,40.7485,-73.9889
Manhattan,Morningside Heights,10027,40.81,-73.9625
Manhattan,Murray Hill,10016,40.7479,-73.9757
Manhattan,NoHo,10012,40.7285,-73.9924
Manhattan,NoMad,10010,40.7438,-73.9888
Manhattan,Randall's Island,10035,40.7932,-73.9213
Manhattan,Roosevelt Island,10044,40.7622,-73.9496
Manhattan,Rose Hill,10016,40.7423,-73.9816
Manhattan,SoHo,10013,40.7229,-74.002
Manhattan,South Street Seaport,10038,40.7069,-74.0034
Manhattan,Spanish Harlem (El Barrio),10029,40.7922,-73.9389
Manhattan,Stuyvesant Town,10009,40.7317,-73.9788
Manhattan,Sugar Hill,10031,40.8276,-73.9445
Manhattan,Sutton Place,10022,40.7553,-73.9635
Manhattan,Theater District (Times Square),10036,40.759,-73.9845
Manhattan,TriBeCa,10013,40.7185,-74.0089
Manhattan,Tudor City,10017,40.748,-73.9712
Manhattan,Turtle Bay,10017,40.7522,-73.9677
Manhattan,Two Bridges,10002,40.7101,-73.99
Manhattan,Union Square,10003,40.7365,-73.9918
Manhattan,Upper East Side,10021,40.7737,-73.9567
Manhattan,Upper West Side,10024,40.787,-73.9754
Manhattan,Washington Heights,10032,40.8387,-73.9425
Manhattan,West Village,10014,40.7349,-74.0023
Manhattan,World Trade Center,10007,40.7127,-74.0134
Manhattan,Yorkville,10128,40.778,-73.948
